Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,1001.0,1.0,1001.0,1001.0,0.10000000000000003,-156.6178822970143,-156.6178822970143,0.0,0.015074968338012695,,,,,,,,,,,,,,,,,,,,,-14.09812966496758,3.1069607325594806,-0.15644759432341337,-15.652125606756142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,2002.0,2.0,1001.0,2048.0,0.10000000000000003,,,0.0,107.03054308891296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,0.0,0.0,0.0,0.0,1001.0,3049.0,0.10000000000000003,-156.64513586531749,-156.64513586531749,0.0,129.38269138336182,-156.63325222356244,-156.63325222356244,0.0,,,,,,2.4367175,2.4747727,6.5189667,0.07756524,,,,,8.29454,5.3484635,17.026608,0.80690306,-14.100799871875925,3.1071417071404777,-0.15646901713446723,-15.652655704888078,32.61383,0.0,32.61383,32.61383,2.2241430956193613e-16,1.0,11.215449990504956,-1.4563904424435061,0.0012908946,0.16103306,0.15501274,-0.18189739,2.4397948,2.470504,6.5129895,0.08474193,-0.0030771338,0.004421145,0.0059767067,-0.0071766945,-2.5851358687094192,0.2626668015387094,-0.15644759432341337,-2.779237224633606,0.009112288,0.0,0.009112288,0.009112288,1.0009702,0.104458824,1.5014126,0.5883341,0.999417,0.09426303,1.2,0.8
4,1.0,0.0,0.0,1001.0,1.0,1001.0,4096.0,0.10000000000000003,,,0.0,237.46380949020386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,0.0,0.0,2002.0,2.0,1001.0,5097.0,0.10000000000000003,-156.65891708791963,-156.65891708791963,0.0,255.22287273406982,-156.64177657596937,-156.64177657596937,0.0,,,,,,,,,,,,,,,,,,-14.102116878438636,3.107307135336547,-0.15648913231527314,-15.653259732069165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.0,0.0,0.0,1001.0,1.0,1001.0,6144.0,0.10000000000000003,,,0.0,366.4007692337036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,0.0,0.0,0.0,0.0,1001.0,7145.0,0.10000000000000003,-156.5576864302051,-156.5576864302051,0.0,388.35161089897156,-156.34072239858256,-156.34072239858256,0.0,,,,,,0.41218352,0.31896153,1.3684586,0.28999847,,,,,3.8512228,6.004357,37.0538,0.59570915,-14.092128008672121,3.1071204261824334,-0.15629908267360126,-15.6520051145424,32.558964,0.0,32.558964,32.558964,2.2714652891431774e-16,0.9999999999999999,10.671698447258601,-0.6718813005625681,-4.584915,0.27549466,-4.019572,-5.2653427,0.4234368,0.3148153,1.3674446,0.2997219,-0.011253199,0.0052803503,0.0010140791,-0.01734103,-6.3336809769211655,0.6235042820780816,-0.15629908267360104,-6.827483109384247,0.008021785,0.0,0.008021785,0.008021785,0.99993306,0.10446061,1.5492084,0.61048377,0.99867177,0.095864676,1.2,0.8
8,3.0,0.0,0.0,1001.0,1.0,1001.0,8192.0,0.10000000000000003,,,0.0,495.94419980049133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4.0,0.0,0.0,0.0,0.0,1001.0,9193.0,0.10000000000000003,-156.6130955506883,-156.6130955506883,0.0,517.1462001800537,-156.62071135447496,-156.62071135447496,0.0,,,,,,0.3535319,0.24610828,1.0842506,0.24247383,,,,,4.874547,5.9083967,55.278446,0.6967014,-14.097601122408593,3.107370683735971,-0.1564213721579537,-15.652634661997864,32.519695,0.0,32.519695,32.519695,3.2652313531433174e-16,0.9999999999999999,12.84904117036421,-1.2765049401998765,-5.347905,1.1018268,-2.13109,-6.9923544,0.3628135,0.24323101,1.0852417,0.24891175,-0.00928158,0.0039042495,-0.0009909288,-0.014593501,-6.944164427379424,1.1483992865696766,-0.1564213721579537,-8.245502779981082,0.009823214,0.0,0.009823214,0.009823214,1.0026582,0.12153028,1.8826402,0.60095257,0.99941486,0.105334826,1.2,0.8
10,4.0,0.0,0.0,1001.0,1.0,1001.0,10194.0,0.10000000000000003,-156.6237141726935,-156.6237141726935,0.0,535.1201994419098,,,,,,,,,,,,,,,,,,,,,-14.098710450976524,3.107183257671054,-0.15644854713418554,-15.652143998402254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
